LineID,Quest,Stage,Topic,Speaker,VoiceType,Emotion,Value,Text,Conditions,Notes
NHV_Q00_030_08,Q00,30,Proposal,Veyra,NHV_VoiceVeyra,Neutral,50,"Don't tell him I said that. He'd never let me forget it.",GetDead Cicero == 0,"Platzhalter-Condition, s. o.; OFFENE FRAGE (lore-editor): Zeile ergibt inhaltlich nur nach der NightMotherOption2-Rueckblende (030_06/07) Sinn. Falls im CK als eigene INFO statt Folge-Response umgesetzt, Bedingung um NightMotherOption2 == 1 ergaenzen"
NHV_Q00_030_09,Q00,30,Proposal,Veyra,NHV_VoiceVeyra,Neutral,50,"Then hear my proposal.",,Unabhaengig von der vorherigen Wahl
NHV_Q00_030_10,Q00,30,Proposal,Veyra,NHV_VoiceVeyra,Neutral,50,"The family is currently two killers, a jester and a horse.",GetDead Cicero == 0,Platzhalter-Condition
NHV_Q00_030_11,Q00,30,Proposal,Veyra,NHV_VoiceVeyra,Neutral,50,"The family is currently two killers and a horse.",GetDead Cicero == 1,Platzhalter-Condition; Alternativzeile falls Cicero tot
NHV_Q00_030_12,Q00,30,Proposal,Babette,Vanilla,Anger,20,"I'll have you know I count as at least three killers on my own.",,
NHV_Q00_030_13,Q00,30,Proposal,Veyra,NHV_VoiceVeyra,Neutral,50,"The Brotherhood has never posted notices. We watch.",,Konzept-Satz (32 Woerter) auf drei Responses aufgeteilt
NHV_Q00_030_14,Q00,30,Proposal,Veyra,NHV_VoiceVeyra,Neutral,50,"Across Skyrim there are people who have already crossed the line. Killers who don't yet know they're family.",,Fortsetzung von NHV_Q00_030_13
NHV_Q00_030_15,Q00,30,Proposal,Veyra,NHV_VoiceVeyra,Neutral,50,"I keep a ledger of them.",,Fortsetzung von NHV_Q00_030_14
NHV_Q00_030_16,Q00,30,Proposal,Nazir,Vanilla,Anger,30,"And after Astrid, you want us to open the door to strangers?",,
NHV_Q00_030_17,Q00,30,Proposal,Veyra,NHV_VoiceVeyra,Neutral,50,"No. I want us to open it to the right strangers. Every one of them watched, tested and judged. By the Listener. Not by me.",,
NHV_Q00_030_18,Q00,30,Proposal,Player,-,Neutral,50,"Agreed. We rebuild.",,Option 1 von 3
NHV_Q00_030_19,Q00,30,Proposal,Player,-,Neutral,50,"What's in it for you?",,Option 2 von 3
NHV_Q00_030_20,Q00,30,Proposal,Veyra,NHV_VoiceVeyra,Neutral,50,"A family. A home that doesn't burn. And one day, perhaps, a name on a wall that someone bothers to remember.",,
NHV_Q00_030_21,Q00,30,Proposal,Player,-,Neutral,50,"How do I know one of them won't be the next Astrid?",,Option 3 von 3
NHV_Q00_030_22,Q00,30,Proposal,Veyra,NHV_VoiceVeyra,Neutral,50,"You don't. That's why we test them. And that's why you decide, not me.",,
NHV_Q00_030_23,Q00,30,Proposal,Nazir,Vanilla,Neutral,50,"...Contracts are scarce anyway. Fine. She answers to the Listener, and I keep my scimitar sharp.",,
NHV_Q00_030_24,Q00,30,Proposal,Veyra,NHV_VoiceVeyra,Neutral,50,"I would expect nothing less.",,
NHV_Q00_030_25,Q00,30,Proposal,Veyra,NHV_VoiceVeyra,Neutral,50,"One more thing. This place is older than you think.",,Konzept-Satz (36 Woerter) auf drei Responses aufgeteilt
NHV_Q00_030_26,Q00,30,Proposal,Veyra,NHV_VoiceVeyra,Neutral,50,"There's a passage behind that rubble, sealed before any of us were born.",,Fortsetzung von NHV_Q00_030_25
NHV_Q00_030_27,Q00,30,Proposal,Veyra,NHV_VoiceVeyra,Neutral,50,"If we mean to build a family, we'll need somewhere to put it.",,Fortsetzung von NHV_Q00_030_26 → Stage 40
NHV_Q00_040_01,Q00,40,SealedPassage,Veyra,NHV_VoiceVeyra,Neutral,50,"Nordic. Older than the sanctuary above. Someone sealed this for a reason.",,"OFFENE FRAGE (lore-editor): Stage-Tabelle setzt ""Geroell aktiviert, Zellwechsel"" als Ausloeser fuer Stage 50, diese Zeile faellt aber zeitlich danach. Mit Entwickler klaeren, ob Stage hier 50 statt 40 sein sollte, bevor die Szene im CK gebaut wird. Spieler aktiviert Geroell, Zellwechsel in die verfallene Deep Sanctuary, 3 Draugr bewachen die Kammern"
NHV_Q00_040_02,Q00,40,SealedPassage,Veyra,NHV_VoiceVeyra,Happy,20,"Well. Now we know the reason.",,Nach dem Kampf
NHV_Q00_040_03,Q00,40,SealedPassage,Veyra,NHV_VoiceVeyra,Neutral,50,"A long table. A fire pit. Imagine it full.",,In der Hall of Whispers
NHV_Q00_060_01,Q00,60,MemorialWall,Veyra,NHV_VoiceVeyra,Sad,40,"Festus. Gabriella. Arnbjorn. Veezara. I'll carve their names myself.",,
NHV_Q00_060_02,Q00,60,MemorialWall,Veyra,NHV_VoiceVeyra,Neutral,50,"And Astrid? She led them. She also sold them. Your call, Listener.",,
NHV_Q00_060_03,Q00,60,MemorialWall,Player,-,Neutral,50,"Carve her name with the others.",,"Option 1 von 3 → NHV_AstridMemorial = 1"
NHV_Q00_060_04,Q00,60,MemorialWall,Veyra,NHV_VoiceVeyra,Neutral,50,"Mercy for the dead. The dead rarely deserve it, but they never complain.",,
NHV_Q00_060_05,Q00,60,MemorialWall,Player,-,Neutral,50,"Leave her off.",,"Option 2 von 3 → NHV_AstridMemorial = 2"
NHV_Q00_060_06,Q00,60,MemorialWall,Veyra,NHV_VoiceVeyra,Neutral,50,"Forgotten, then. The Void will remember her. We needn't.",,
NHV_Q00_060_07,Q00,60,MemorialWall,Player,-,Neutral,50,"Carve it beneath the others. Smaller.",,"Option 3 von 3 → NHV_AstridMemorial = 3"
NHV_Q00_060_08,Q00,60,MemorialWall,Veyra,NHV_VoiceVeyra,Happy,30,"Remembered, but not honored. I like the way you think.",,
NHV_Q00_100_01,Q00,100,FirstContract,Veyra,NHV_VoiceVeyra,Neutral,50,"Before Falkreath burned, the Night Mother heard a prayer from Hjaalmarch. A Black Sacrament. No one answered it. There was no one left to answer.",,
NHV_Q00_100_02,Q00,100,FirstContract,Veyra,NHV_VoiceVeyra,Neutral,50,"Let's find out what became of the one who performed it.",,"→ Stage 100 abgeschlossen, Q01 startet"
NHV_Q00_100_03,Q00,-,Initiates_Q,Player,-,Neutral,50,"What about the initiates who are already here?",,"Optional, nur wenn Vanilla-Initiates in der Sanctuary vorhanden sind; vor Stage 100 verfuegbar"
NHV_Q00_100_04,Q00,-,Initiates_Q,Veyra,NHV_VoiceVeyra,Neutral,50,"They found the door by luck, not judgment. Luck is a fine thing. Judgment lasts longer. I'll keep an eye on them.",,"Konzept schreibt ""judgement"" (britisch); auf amerikanische Schreibweise korrigiert (E12, docs/DIALOGUE.md)"
